id,book,source_file,source_chapter,wisdom_title,wisdom_text,theme_tags
AQMM001,《爱情的秘密》,001.爱情的秘密.txt,爱情的秘密,深情不必全说,最深的感情未必适合反复说明，越是珍贵的心意，越需要一点含蓄和余地。把爱情全都摊开、说尽、追问到底，常会把活的感应压成干硬的说明；人与人之间许多真切处，靠的是体察、节奏和默契，而不是把每一分心意都逼成语言。,人生智慧;爱情;沉默;分寸
AQMM002,《爱情的秘密》,001.爱情的秘密.txt,爱情的秘密,达意之外还要有味,把意思说清楚只是表达的底线，并不等于表达已经完成。真正动人的文字，还要有节奏、余味和适合中文的气息；若只求达意而没有诗意，内容再正确也会显得干枯。做任何作品也是如此，功能要对，味道也要对。,人生智慧;表达;诗意;技艺
AQMM003,《爱情的秘密》,002.沙丘忆.txt,沙丘忆,愿教愿学就是师友,师友关系不一定靠年龄、头衔或正式介绍建立，有时只要一方愿意教，一方愿意学，就足以开始真正的交流。成年人向孩子学钓鱼，孩子向成年人学读书，彼此都放下身份，知识和生命经验就能互相流动；好关系常从这种平等好奇开始。,人生智慧;学习;师友;开放
AQMM004,《爱情的秘密》,002.沙丘忆.txt,沙丘忆,先训练耳朵,文字的节奏不是书桌上硬造出来的，它常来自对生活节奏的长期训练。听夜里的涛声，看风吹沙纹，感受事物的抑扬顿挫，都是学习语言的一部分；一个人的感官越醒，表达越不容易空洞，因为他写出的节奏来自真实世界。,人生智慧;感官;学习;节奏
AQMM005,《爱情的秘密》,002.沙丘忆.txt,沙丘忆,想象从换位开始,想象力不是胡思乱想，而是暂时离开自己的固定位置，试着从云、蟹、风、潮汐乃至他人的眼睛看世界。一个孩子被要求“不要把自己当成男孩，把自己当成蟹”，他的世界便被撬开了；人生的创造力，常从这种认真换位开始。,人生智慧;想象;观察;换位
AQMM006,《爱情的秘密》,002.沙丘忆.txt,沙丘忆,好老师留在感受里,有些人离开以后，并不靠姓名和地址留在我们生命里，而是藏在后来某个节奏、某片云、某次观看世界的方式中。真正的老师未必长久陪伴，却会改变你感受事物的角度；多年以后你偶然想起他，说明他早已变成你的一部分。,人生智慧;记忆;师承;成长
AQMM007,《爱情的秘密》,003.除却一寒冬.txt,除却一寒冬,强者改造困境,同样是坐牢、寒冷、孤独，有人只被它消耗，有人却把它改造成走路、背书和锻炼心力的场所。困境本身当然不是好事，但强者能从坏处抽出可用的部分，让外在限制反过来训练自己；人生难免遇冬，关键是能否在寒冬里长出脚力。,人生智慧;困境;自律;强者
AQMM008,《爱情的秘密》,004.一首诗几件事.txt,一首诗几件事,没有人是孤岛,一个人的死亡、痛苦和损失，不只是他个人的小事，因为每个人都是更大陆地的一片。若能明白自己牵连在人类之中，就不会把别人的灾难看成远方新闻；真正的同情不是姿态，而是知道别人的钟声也在某种意义上为自己而响。,人生智慧;共同体;同情;人类
AQMM009,《爱情的秘密》,004.一首诗几件事.txt,一首诗几件事,保留苦境中的成果,困境中完成的作品，有时不必急着改到完美，因为它本身带着那个时刻的温度和证据。狱中译出的诗，后来即使有更好的修改意见，也可以保留原貌作为纪念；人生里有些成果的价值，不只在技术最佳，还在它见证了你如何撑过当时。,人生智慧;创作;纪念;困境
AQMM010,《爱情的秘密》,005.评改余光中的一首译诗.txt,评改余光中的一首译诗,来源要交代,引用、翻译、介绍别人材料时，来源交代不是小节，而是基本诚实。若把他人的背景说明、资料整理或文字劳动悄悄搬进自己的作品，就算意思没有错，也会损害作品的品格；做学问和做人一样，来处清楚，才站得稳。,人生智慧;诚实;引用;学问
